userid,interface,commandsetid,parentisdiff,time,errors,commandid,parenterrors
bJsIeS52X,C,0,f,1256,0,19,0
bJsIeS52X,C,0,t,1637,0,50,0
bJsIeS52X,C,0,f,2150,0,55,0
bJsIeS52X,C,0,f,1487,0,50,0
bJsIeS52X,C,0,t,1618,0,16,0
bJsIeS52X,C,0,t,1345,0,2,0
bJsIeS52X,C,0,t,1285,0,50,0
bJsIeS52X,C,0,t,1245,0,19,0
bJsIeS52X,C,0,t,1205,0,0,0
bJsIeS52X,C,0,t,1405,0,19,0
bJsIeS52X,C,0,t,1826,0,55,0
bJsIeS52X,C,0,t,1758,0,16,0
bJsIeS52X,C,0,t,2641,0,55,0
bJsIeS52X,C,0,t,1064,0,0,0
bJsIeS52X,C,0,f,965,0,0,0
bJsIeS52X,C,0,t,3162,1,19,0
bJsIeS52X,C,0,t,1134,0,0,0
bJsIeS52X,C,0,t,1276,0,19,0
bJsIeS52X,C,0,t,2219,0,55,0
bJsIeS52X,C,0,f,1525,0,50,0
bJsIeS52X,C,0,t,1235,0,2,0
bJsIeS52X,C,0,f,915,0,0,0
bJsIeS52X,C,0,t,1857,0,16,0
bJsIeS52X,C,0,f,984,0,16,0
bJsIeS52X,C,0,t,1245,0,55,0
bJsIeS52X,C,0,t,1324,0,2,0
bJsIeS52X,C,0,f,1087,0,0,0
bJsIeS52X,C,0,f,1153,0,0,0
bJsIeS52X,C,0,t,2379,0,55,0
bJsIeS52X,C,0,f,1278,0,55,0
bJsIeS52X,C,0,t,1798,0,16,0
bJsIeS52X,C,0,f,1185,0,19,0
bJsIeS52X,C,0,t,1135,0,50,0
bJsIeS52X,C,0,t,1296,0,2,0
bJsIeS52X,C,0,t,2168,0,55,0
bJsIeS52X,C,0,t,1234,0,19,0
bJsIeS52X,C,0,t,1445,0,55,0
bJsIeS52X,C,0,t,1867,0,16,0
bJsIeS52X,C,0,t,1044,0,0,0
bJsIeS52X,C,0,t,1285,0,19,0
bJsIeS52X,C,0,f,1005,0,16,0
bJsIeS52X,C,0,t,1114,0,50,0
bJsIeS52X,C,0,t,1899,0,2,0
bJsIeS52X,C,0,t,1526,0,16,0
bJsIeS52X,C,0,f,1194,0,19,0
bJsIeS52X,C,0,t,1228,0,2,0
bJsIeS52X,C,0,t,1265,0,16,0
bJsIeS52X,C,0,t,3172,0,55,0
bJsIeS52X,C,0,t,1526,0,16,0
bJsIeS52X,C,0,t,2376,0,2,0
bJsIeS52X,C,0,t,1335,0,50,0
bJsIeS52X,C,0,t,1225,0,19,0
bJsIeS52X,C,0,t,1135,0,0,0
bJsIeS52X,C,0,f,1000,0,2,0
bJsIeS52X,C,0,f,1092,0,0,0
bJsIeS52X,C,0,t,2024,0,16,0
bJsIeS52X,C,0,t,994,0,0,0
bJsIeS52X,C,0,t,1608,0,16,0
bJsIeS52X,C,0,t,1686,0,50,0
bJsIeS52X,C,0,t,1517,0,2,0
bJsIeS52X,C,0,t,1284,0,19,0
bJsIeS52X,C,0,f,1075,0,19,0
bJsIeS52X,C,0,t,1998,0,55,0
bJsIeS52X,C,0,t,1224,0,19,0
bJsIeS52X,C,0,t,1385,0,50,0
bJsIeS52X,C,0,t,1215,0,2,0
bJsIeS52X,C,0,t,1344,0,16,0
bJsIeS52X,C,0,t,1204,0,50,0
bJsIeS52X,C,0,t,1255,0,0,0
bJsIeS52X,C,0,t,2159,0,55,0
